"PackageFile","Sort","Aggregate","FuzzyLookup","FastLoadInactive","NoTABLOCK","LookupPartialNoCache","SELECT*","OLEDBCommand","CartesianCrossJoin","NonSargableFunctionPredicate","OnTheFlyFunctionExpression","NestedViewReference","PivotWindowFunction","UnionAll","NoLockAdvisory","MergeJoinComponent","ImplicitConversionIndicator","ScriptComponent","ADO.NET_or_ODBC_Provider","ExplicitBufferOrThreadSetting","TempStoragePathSetting","DestinationCommitSizeSetting","ExecutePackageTask","CheckpointSetting","FullReloadIndicator"
"SSISDB/Areal Statement/Areal Statement/DWH_STG_to_DWH_DM.dtsx","2","0","0","0","0","0","14","0","19","8","8","0","9","16","0","1","23","0","0","0","0","8","0","0","0"
"SSISDB/Areal Statement/Areal Statement/SOURCE_to_DWH_STG.dtsx","2","0","0","0","0","0","4","0","0","0","0","0","864","0","0","0","43","0","0","0","0","13","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_DimActivity.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_DimBlock.dtsx","0","0","0","1","0","0","0","2","0","0","0","1","0","318","0","0","0","0","40","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_DimCompany.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_DimDate.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_DimIntiPlasma.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_DimKas.dtsx","6","0","0","0","0","0","5","0","0","1","0","5","0","0","0","3","80","0","0","0","0","5","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_DimLHPP_Wallpaper.dtsx","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_DimLuasPanen.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_DimMandor.dtsx","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_DimParameterPuas.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_DimProduct.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_DIMPurchasing_Process.dtsx","2","0","0","0","0","0","4","0","0","4","0","0","0","0","0","1","0","0","0","0","0","6","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_DimStandardMill.dtsx","0","0","0","1","0","0","0","1","0","0","0","0","0","82","0","0","0","0","8","0","0","1","0","0","0"
