"folder_name","project_name","package_name","executions","avg_duration_sec","max_duration_sec","failed_or_unexpected","last_start_time","reason"
"Controllable Profit","ControllableProfit","STG to DWH.dtsx","14","3579.93","4440.09","0","9/2/2026 1:00:17 PM +07:00","Average runtime >= 10 minutes, but no static anti-pattern finding after commit-size correction"
"Project_Fact","DWH_GRADING_TBS","Fact.dtsx","48","3393.62","4384.26","0","9/1/2026 6:27:44 PM +07:00","Average runtime >= 10 minutes, but no static anti-pattern finding after commit-size correction"
"Sequence_Table","Sequence_Table","Seq_BSEG 1.dtsx","5","2892.01","3767.90","1","8/20/2026 4:56:05 PM +07:00","Average runtime >= 10 minutes, but no static anti-pattern finding after commit-size correction"
"LKK Phase 2","LKK Phase 2","STG to DWH.dtsx","14","2891.26","4175.17","0","9/2/2026 6:40:00 AM +07:00","Average runtime >= 10 minutes, but no static anti-pattern finding after commit-size correction"
"Project_Fact","PRPOGR_Dashboard","Fact - fact_pr_po_gr.dtsx","14","1833.41","3446.31","0","9/2/2026 8:20:00 AM +07:00","Average runtime >= 10 minutes, but no static anti-pattern finding after commit-size correction"
"Project_Fact","premi dan lembur monitoring","DWH_STG to DWH_DM.dtsx","67","1792.15","3806.94","22","9/2/2026 12:23:00 PM +07:00","Average runtime >= 10 minutes, but no static anti-pattern finding after commit-size correction"
"tesss","premi dan lembur monitoring","DWH_STG to DWH_DM.dtsx","2","1302.37","2560.98","1","8/24/2026 8:38:08 AM +07:00","Average runtime >= 10 minutes, but no static anti-pattern finding after commit-size correction"
"Project_Fact","PEMAKAIAN_SOLAR","Fact_Pemakaian_Solar v2.dtsx","14","1289.32","1444.48","0","9/2/2026 4:20:04 AM +07:00","Average runtime >= 10 minutes, but no static anti-pattern finding after commit-size correction"
"Project_Fact","DWH_TURNOVER_BGA","Fact Rekap.dtsx","1","1096.52","1096.52","0","9/1/2026 12:48:07 AM +07:00","Average runtime >= 10 minutes, but no static anti-pattern finding after commit-size correction"
"Project_Fact","Lap Prod TBS CPO PK","Laporan Produksi TBS CPO PK.dtsx","14","959.28","1861.57","0","9/2/2026 9:30:00 AM +07:00","Average runtime >= 10 minutes, but no static anti-pattern finding after commit-size correction"
"Project_Fact","DWH_LHM","Fact Rekap.dtsx","57","901.26","2364.71","0","9/2/2026 1:08:43 PM +07:00","Average runtime >= 10 minutes, but no static anti-pattern finding after commit-size correction"
