statistics_id,execution_id,executable_id,execution_path,start_time,end_time,execution_duration,execution_result,execution_value
7206609,1240268,497760,\Package1,2026-09-01 06:23:23.0808970 +07:00,2026-09-01 07:33:21.6278970 +07:00,4198547,0,NULL
7206249,1240268,497758,\Package1\FACT_AI_GRADING_PENERIMAAN_TBS\TRUNCATE,2026-09-01 06:23:23.4344882 +07:00,2026-09-01 06:23:23.6694882 +07:00,235,0,-1
7206608,1240268,497759,\Package1\FACT_AI_GRADING_PENERIMAAN_TBS,2026-09-01 06:23:23.4398970 +07:00,2026-09-01 07:33:21.6278970 +07:00,4198188,0,NULL
7206610,1240268,497761,\Package1\FACT_AI_GRADING_PENERIMAAN_TBS\FACT_AI_GRADING_PENERIMAAN_TBS,2026-09-01 06:23:23.6748970 +07:00,2026-09-01 07:33:21.6278970 +07:00,4197953,0,NULL
7206494,1240269,498102,\FACT_SPARTA_LHA_NEW,2026-09-01 06:25:15.0290870 +07:00,2026-09-01 07:04:53.7640870 +07:00,2378735,0,NULL
7206447,1240269,498097,\FACT_SPARTA_LHA_NEW\DETAIL,2026-09-01 06:25:15.5855256 +07:00,2026-09-01 06:48:43.4605256 +07:00,1407875,0,NULL
7206365,1240269,498081,\FACT_SPARTA_LHA_NEW\DETAIL\FACT_SPARTA_UPAH,2026-09-01 06:25:15.5879649 +07:00,2026-09-01 06:26:09.1349649 +07:00,53547,0,NULL
7206363,1240269,498080,\FACT_SPARTA_LHA_NEW\DETAIL\FACT_SPARTA_UPAH\DELETE,2026-09-01 06:25:15.5907473 +07:00,2026-09-01 06:25:30.3717473 +07:00,14781,0,68556
7206366,1240269,498082,\FACT_SPARTA_LHA_NEW\DETAIL\FACT_SPARTA_UPAH\FACT_SPARTA_UPAH,2026-09-01 06:25:30.3689649 +07:00,2026-09-01 06:26:09.1349649 +07:00,38766,0,NULL
7206389,1240269,498084,\FACT_SPARTA_LHA_NEW\DETAIL\FACT_SPARTA_BAHAN,2026-09-01 06:26:09.1352827 +07:00,2026-09-01 06:30:19.0412827 +07:00,249906,0,NULL
7206367,1240269,498083,\FACT_SPARTA_LHA_NEW\DETAIL\FACT_SPARTA_BAHAN\DELETE 3 MONTH,2026-09-01 06:26:09.1424986 +07:00,2026-09-01 06:26:18.4544986 +07:00,9312,0,96385
7206390,1240269,498085,\FACT_SPARTA_LHA_NEW\DETAIL\FACT_SPARTA_BAHAN\FACT_SPARTA_BAHAN,2026-09-01 06:26:18.4472827 +07:00,2026-09-01 06:30:19.0412827 +07:00,240594,0,NULL
7206416,1240269,498088,\FACT_SPARTA_LHA_NEW\DETAIL\FACT_SPARTA_LHA_DTL\DELETE 3 MONTH,2026-09-01 06:30:19.0394469 +07:00,2026-09-01 06:35:36.2424469 +07:00,317203,0,3769438
7206443,1240269,498093,\FACT_SPARTA_LHA_NEW\DETAIL\FACT_SPARTA_LHA_DTL,2026-09-01 06:30:19.0517470 +07:00,2026-09-01 06:47:54.9267470 +07:00,1055875,0,NULL
