folder_id,name,description,created_by_sid,created_by_name,created_time
25,Areal Statement,,0x0105000000000005150000001CAE936E55B6D32178B1BDE1E1EC0000,BUMITAMA\guest.user20,2023-09-01 16:13:39.6741614 +07:00
2,BGADWH_SSIS,,0x0105000000000005150000005D90A24AA8B3429685A18593F4010000,BGASVR-DWH-DEV\Administrator,2017-08-22 17:37:42.3767546 +07:00
26,Closing Ranking Payroll,,0x0105000000000005150000001CAE936E55B6D32178B1BDE158D00000,BUMITAMA\fauzan,2023-11-08 09:41:24.5667926 +07:00
10,COGS,,0x0105000000000005150000001CAE936E55B6D32178B1BDE1E1EC0000,BUMITAMA\guest.user20,2022-12-20 18:11:47.7297586 +07:00
29,Controllable Profit,,0x0105000000000005150000001CAE936E55B6D32178B1BDE1E1EC0000,BUMITAMA\guest.user20,2024-06-12 08:26:00.6421658 +07:00
3,Development,,0x0105000000000005150000005D90A24AA8B3429685A18593F4010000,BGASVR-DWH-DEV\Administrator,2017-09-28 09:53:43.7077065 +07:00
22,Komparasi Overhead Metro,,0x0105000000000005150000001CAE936E55B6D32178B1BDE1E1EC0000,BUMITAMA\guest.user20,2023-07-09 20:13:24.9563764 +07:00
32,LKK Phase 2,,0x0105000000000005150000001CAE936E55B6D32178B1BDE1DB030100,BUMITAMA\outsource.bayu,2025-07-08 21:01:40.2632561 +07:00
28,Monitoring Inputan BPS,,0x0105000000000005150000001CAE936E55B6D32178B1BDE1E1EC0000,BUMITAMA\guest.user20,2024-05-07 14:06:17.2112603 +07:00
7,MR,,0x0105000000000005150000001CAE936E55B6D32178B1BDE1DB600000,BUMITAMA\guest.user4,2022-02-18 13:42:57.8034380 +07:00
1,MyDeployment,,0x0105000000000005150000005D90A24AA8B3429685A18593F4010000,BGASVR-DWH-DEV\Administrator,2017-08-22 17:37:09.7068814 +07:00
30,Production Hilight,,0x0105000000000005150000001CAE936E55B6D32178B1BDE1DB030100,BUMITAMA\outsource.bayu,2025-02-26 10:51:48.1815923 +07:00
13,Project_Fact,,0x0105000000000005150000001CAE936E55B6D32178B1BDE17ED00000,BUMITAMA\it.bidw.x2,2023-01-24 11:31:49.3957268 +07:00
9,SAP_to_STG_MR,,0x0105000000000005150000001CAE936E55B6D32178B1BDE1E1EC0000,BUMITAMA\guest.user20,2022-08-30 14:29:32.3374997 +07:00
31,Selling Expenses,,0x0105000000000005150000001CAE936E55B6D32178B1BDE1E1EC0000,BUMITAMA\guest.user20,2025-02-26 11:21:20.9625021 +07:00
17,Sequence_Table,,0x0105000000000005150000001CAE936E55B6D32178B1BDE1F8ED0000,BUMITAMA\admin.esa,2023-03-01 10:50:31.1922875 +07:00
5,StagingBGA,,0x0105000000000005150000001CAE936E55B6D32178B1BDE1DB600000,BUMITAMA\guest.user4,2021-12-20 17:39:07.1393789 +07:00
8,SummaryPL,,0x0105000000000005150000001CAE936E55B6D32178B1BDE1E1EC0000,BUMITAMA\guest.user20,2022-08-30 13:54:35.1193948 +07:00
4,tesss,sss,0x0105000000000005150000005D90A24AA8B3429685A18593F4010000,BGASVR-DWH-DEV\Administrator,2018-01-30 14:34:51.7772471 +07:00
18,Traksi,Dashboard Traksi VRA,0x0105000000000005150000001CAE936E55B6D32178B1BDE16CD00000,BUMITAMA\admin.ajay,2023-03-01 11:05:59.4165459 +07:00
