database_name,state_desc,is_read_only,recovery_model_desc,compatibility_level,is_query_store_on
BGA_DWH,ONLINE,0,FULL,130,0
BGA_LKP,ONLINE,0,FULL,130,0
BGA_STG,ONLINE,0,FULL,130,0
BGA_TRX,ONLINE,0,FULL,130,0
BGA_VIEW,ONLINE,0,FULL,130,0
DWH_DM,ONLINE,0,FULL,130,0
DWH_RPS,ONLINE,0,FULL,130,0
DWH_STG,ONLINE,0,FULL,130,0
master,ONLINE,0,SIMPLE,130,0
model,ONLINE,0,FULL,130,0
msdb,ONLINE,0,SIMPLE,130,0
SSISDB,ONLINE,0,SIMPLE,130,0
SSRSDB,ONLINE,0,FULL,130,0
SSRSDBTempDB,ONLINE,0,SIMPLE,130,0
StagingDB,ONLINE,0,FULL,130,0
StagingMMR,ONLINE,0,FULL,130,0
tempdb,ONLINE,0,SIMPLE,130,0
TempDB_DWH,ONLINE,0,FULL,130,0
WarehouseDB,ONLINE,0,FULL,130,0
